日期,渠道,注册用户数,充值用户数,充值金额,新用户充值用户数,新用户充值金额,老用户充值数,老用户充值金额,本渠道老用户充值数,本渠道老用户充值金额,其他渠道老用户充值数,其他渠道老用户充值金额
2021-11-25,顺网,22,34,89.47,8,20.73,26,68.74,22,59.48,4,9.26
2021-11-24,顺网,22,35,93.05,8,19.83,27,73.22,25,66.75,2,6.47
2021-11-23,顺网,26,31,86.41,10,23.22,21,63.19,17,52.83,4,10.36
2021-11-22,顺网,20,22,57.78,5,10.17,17,47.61,14,42.24,3,5.37
2021-11-21,顺网,34,59,135.21,20,43.66,39,91.55,30,74.53,9,17.02
2021-11-20,顺网,37,58,158.31,19,50.57,39,107.74,32,89.3,7,18.44
2021-11-19,顺网,20,32,90.72,7,20.73,25,69.99,19,54.87,6,15.12
2021-11-18,顺网,23,36,103.0,6,14.73,30,88.27,25,71.42,5,16.85
2021-11-17,顺网,30,46,139.13,18,51.22,28,87.91,21,74.06,7,13.85
2021-11-16,顺网,27,32,82.8,15,38.67,17,44.13,13,32.48,4,11.65
2021-11-15,顺网,18,26,65.17,7,10.66,19,54.51,14,44.15,5,10.36
2021-11-14,顺网,19,38,91.97,6,18.24,32,73.73,30,66.95,2,6.78
2021-11-13,顺网,53,45,117.57,21,59.3,24,58.27,19,49.2,5,9.07
2021-11-12,顺网,31,38,106.82,13,35.78,25,71.04,23,68.45,2,2.59
2021-11-11,顺网,26,31,83.89,10,22.42,21,61.47,19,57.89,2,3.58
2021-11-10,顺网,20,30,85.21,11,27.8,19,57.41,16,47.36,3,10.05
2021-11-09,顺网,25,26,61.81,12,26.03,14,35.78,11,31.29,3,4.49
2021-11-08,顺网,23,36,81.01,9,16.45,27,64.56,22,54.51,5,10.05
2021-11-07,顺网,52,55,123.56,25,47.16,30,76.4,24,61.56,6,14.84
2021-11-06,顺网,51,46,109.5,16,34.4,30,75.1,26,64.64,4,10.46
2021-11-05,顺网,60,43,78.14,21,29.24,22,48.9,16,34.85,6,14.05
2021-11-04,顺网,82,64,118.15,42,64.13,22,54.02,14,32.5,8,21.52
2021-11-03,顺网,51,51,99.62,31,49.67,20,49.95,16,40.58,4,9.37
2021-11-02,顺网,18,27,70.65,7,13.64,20,57.01,16,45.55,4,11.46
2021-11-01,顺网,16,28,63.57,8,20.62,20,42.95,15,30.79,5,12.16
2021-10-31,顺网,36,43,115.4,14,31.28,29,84.12,27,76.34,2,7.78
2021-10-30,顺网,36,41,96.65,13,30.58,28,66.07,24,57.7,4,8.37
2021-10-29,顺网,20,31,83.22,10,28.72,21,54.5,17,43.04,4,11.46
2021-10-28,顺网,19,28,66.17,4,8.38,24,57.79,18,42.64,6,15.15
2021-10-27,顺网,12,33,84.51,5,9.07,28,75.44,23,62.67,5,12.77
2021-10-26,顺网,18,26,56.42,8,13.56,18,42.86,17,39.97,1,2.89
2021-10-25,顺网,20,23,65.17,6,14.85,17,50.32,13,40.15,4,10.17
2021-10-24,顺网,26,42,107.91,7,18.63,35,89.28,33,84.59,2,4.69
2021-10-23,顺网,36,36,93.5,12,30.2,24,63.3,19,49.44,5,13.86
2021-10-22,顺网,30,30,82.62,7,18.84,23,63.78,16,44.75,7,19.03
2021-10-21,顺网,20,28,72.04,10,22.43,18,49.61,16,42.83,2,6.78
2021-10-20,顺网,26,24,60.08,4,9.87,20,50.21,17,41.64,3,8.57
2021-10-19,顺网,23,36,81.93,9,19.04,27,62.89,21,48.04,6,14.85
2021-10-18,顺网,22,31,90.48,9,24.43,22,66.05,15,47.22,7,18.83
2021-10-17,顺网,34,32,84.5,7,17.64,25,66.86,18,45.13,7,21.73
2021-10-16,顺网,41,36,94.15,17,35.56,19,58.59,11,34.08,8,24.51
2021-10-15,顺网,14,16,44.03,5,14.45,11,29.58,9,24.9,2,4.68
2021-10-14,顺网,26,23,57.71,11,29.11,12,28.6,6,13.66,6,14.94
2021-10-13,顺网,21,15,40.37,9,21.44,6,18.93,6,18.93,0,0.0
2021-10-12,顺网,22,19,45.63,9,19.13,10,26.5,8,18.72,2,7.78
2021-10-11,顺网,9,15,33.37,1,3.89,14,29.48,12,24.8,2,4.68
2021-10-10,顺网,26,33,69.28,12,19.55,21,49.73,14,37.96,7,11.77
2021-10-09,顺网,47,26,68.36,11,23.82,15,44.54,11,33.18,4,11.36
2021-10-08,顺网,40,31,75.74,13,33.99,18,41.75,14,31.69,4,10.06
2021-10-07,顺网,43,12,35.67,4,10.46,8,25.21,6,17.94,2,7.27
2021-10-06,顺网,46,28,72.91,9,18.12,19,54.79,14,36.55,5,18.24
2021-10-05,顺网,56,18,44.75,9,21.64,9,23.11,6,16.64,3,6.47
2021-10-04,顺网,48,16,51.93,4,14.94,12,36.99,8,21.94,4,15.05
2021-10-03,顺网,47,16,43.14,3,7.28,13,35.86,10,31.48,3,4.38
2021-10-02,顺网,66,23,57.9,8,16.25,15,41.65,11,29.69,4,11.96
2021-10-01,顺网,70,35,90.97,18,45.84,17,45.13,14,38.16,3,6.97
2021-09-30,顺网,31,35,80.62,11,26.22,24,54.4,20,46.13,4,8.27
2021-09-29,顺网,21,17,38.74,4,6.17,13,32.57,12,30.78,1,1.79
2021-09-28,顺网,19,19,47.02,9,18.04,10,28.98,9,27.19,1,1.79
2021-09-27,顺网,20,27,69.36,11,28.0,16,41.36,12,32.0,4,9.36
